ID	PAzules2.Archaea	PAzules3.Archaea	PAzules.Archaea
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Ignicoccus|s__Ignicoccus_hospitalis	0.03361	0.03011	0.02036
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Ignicoccus|s__Ignicoccus_hospitalis|t__GCF_000017945	0.03361	0.03011	0.02036
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Ignisphaera	0.01249	0.02524	0.01753
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Ignisphaera|s__Ignisphaera_aggregans	0.01249	0.02524	0.01753
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Ignisphaera|s__Ignisphaera_aggregans|t__GCF_000145985	0.01249	0.02524	0.01753
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Staphylothermus	0.03722	0.0431	0.039
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Staphylothermus|s__Staphylothermus_hellenicus	0.02383	0.0245	0.01931
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Staphylothermus|s__Staphylothermus_hellenicus|t__GCF_000092465	0.02383	0.0245	0.01931
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Staphylothermus|s__Staphylothermus_marinus	0.01339	0.0186	0.01969
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Staphylothermus|s__Staphylothermus_marinus|t__GCF_000015945	0.01339	0.0186	0.01969
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Thermogladius	0.02447	0.03184	0.01866
