ID	PAzules2.Archaea	PAzules3.Archaea	PAzules.Archaea
Haloterrigena_turkmenica	0.02978	0.02528	0.0161
Halovivax_asiaticus	0.02414	0.02362	0.01792
Halovivax_ruber	0.02148	0.02197	0.01546
Halovivax_unclassified	0.00419	0.0	0.0
Natrialba_aegyptia	0.0196	0.01589	0.01605
Natrialba_asiatica	0.01319	0.02178	0.01807
Natrialba_chahannaoensis	0.02637	0.02521	0.01718
Natrialba_hulunbeirensis	0.03196	0.02045	0.0145
Natrialba_magadii	0.01677	0.01863	0.01719
Natrialba_taiwanensis	0.02979	0.01558	0.01714
Natrinema_altunense	0.02389	0.02269	0.01692
Natrinema_gari	0.01883	0.02098	0.01964
Natrinema_pallidum	0.00953	0.02559	0.01472
Natrinema_pellirubrum	0.01724	0.021	0.01678
Natrinema_versiforme	0.01934	0.02807	0.01741
Natronobacterium_gregoryi	0.01758	0.02497	0.01686
Natronococcus_amylolyticus	0.01744	0.02486	0.016
Natronococcus_jeotgali	0.02397	0.0263	0.01895
Natronococcus_occultus	0.01992	0.02166	0.017
Natronolimnobius_innermongolicus	0.01601	0.01517	0.01497
Natronomonas_pharaonis	0.02736	0.02938	0.01406
Natronorubrum_bangense	0.02803	0.02441	0.01619
Natronorubrum_sulfidifaciens	0.02886	0.01906	0.01729
Natronorubrum_tibetense	0.02125	0.02365	0.01672
Methanobacterium_formicicum	0.0225	0.0309	0.02088
Methanobacterium_sp_AL_21	0.0	0.0	0.01998
Methanobacterium_sp_Maddingley_MBC34	0.0	0.0	0.02134
Methanobacterium_sp_SWAN_1	0.0	0.0	0.02165
Methanobacterium_unclassified	0.00725	0.0	0.0
Methanobrevibacter_ruminantium	0.01931	0.02219	0.02061
Methanobrevibacter_smithii	0.01351	0.02606	0.01884
Methanobrevibacter_sp_AbM4	0.0	0.0	0.01791
Methanobrevibacter_unclassified	0.01416	0.0	0.0
Methanosphaera_stadtmanae	0.01725	0.02612	0.02029
Methanothermobacter_marburgensis	0.02179	0.02742	0.02125
Methanothermobacter_thermautotrophicus	0.01958	0.0236	0.01914
Methanothermus_fervidus	0.02437	0.02154	0.02119
Methanocaldococcus_fervens	0.00489	0.02018	0.01931
Methanocaldococcus_infernus	0.00854	0.02806	0.01978
Methanocaldococcus_jannaschii	0.01223	0.02241	0.01925
Methanocaldococcus_unclassified	0.01963	0.0	0.0
Methanocaldococcus_villosus	0.01261	0.02006	0.02202
Methanocaldococcus_vulcanius	0.01026	0.01848	0.02233
Methanotorris_formicicus	0.011	0.02423	0.02276
Methanotorris_igneus	0.01569	0.02347	0.02129
Methanococcus_aeolicus	0.00935	0.02508	0.01834
Methanococcus_maripaludis	0.02144	0.01682	0.02163
Methanococcus_vannielii	0.01589	0.02216	0.02172
Methanococcus_voltae	0.0126	0.01946	0.01977
Methanothermococcus_okinawensis	0.01009	0.01989	0.02014
Methanothermococcus_thermolithotrophicus	0.00485	0.02196	0.01967
Methanocella_arvoryzae	0.01155	0.02495	0.02005
Methanocella_conradii	0.02144	0.02775	0.02011
Methanocella_paludicola	0.01734	0.02499	0.0173
Methanomassiliicoccus_luminyensis	0.04593	0.03668	0.01898
Methanocorpusculum_labreanum	0.03808	0.02646	0.01926
Methanoculleus_bourgensis	0.04066	0.02467	0.01858
Methanoculleus_marisnigri	0.04615	0.02275	0.01915
Methanofollis_liminatans	0.03636	0.03258	0.02109
Methanoplanus_limicola	0.01785	0.02746	0.02055
Methanoplanus_petrolearius	0.02997	0.02765	0.01963
Methanolinea_tarda	0.03201	0.02502	0.02024
Methanoregula_boonei	0.02547	0.02946	0.0222
Methanoregula_formicica	0.03469	0.02243	0.01981
Methanosphaerula_palustris	0.04425	0.02694	0.02027
Methanospirillum_hungatei	0.02649	0.02949	0.02165
Methanosaeta_concilii	0.01241	0.0322	0.01862
Methanosaeta_harundinacea	0.04189	0.03079	0.02191
Methanosaeta_thermophila	0.03337	0.02331	0.0179
Methanococcoides_burtonii	0.01319	0.0247	0.01968
Methanohalobium_evestigatum	0.01143	0.02203	0.02255
Methanohalophilus_mahii	0.2795	0.03849	0.09564
Methanolobus_psychrophilus	0.01351	0.02568	0.02068
Methanolobus_tindarius	0.02456	0.02721	0.01913
Methanomethylovorans_hollandica	0.02085	0.01871	0.01869
Methanosalsum_zhilinae	0.01283	0.03081	0.01927
